row,offer_text,assigned_itemcode,assigned_itemname,label_provenance,final_verdict,replacement_itemcode,replacement_itemname,justification,verdict_source,adjudicator_verdict,adjudicator_note,n_superior_skus_found,skus_compared,label_defects,runtime_rule_defects,protein_inconsistency,pack_inconsistency,category_unreachable,multi_entity_offer
122,Alkabeer VEGETABLE Samosa,VPS,PUNJABI SAMOSA,v2_synthetic_by_construction,INCORRECT,CVSA,12 VEGETABLE SAMOSAS,"CVSA (12 VEGETABLE SAMOSAS) is superior: covers strictly more of the offer's own wording (['samosa', 'vegetable'] vs ['samosa']). Offer words covered by replacement=['samosa', 'vegetable'] vs assigned=['samosa']; over-specific words replacement=0 vs assigned=1; name similarity 92.6 vs 57.3 (+35.3); protein=1 family=1 pack=unknown; spec '240 Gms x 20 Pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Offer explicitly states 'VEGETABLE Samosa', but assigned VPS is PUNJABI SAMOSA - a different product line. CVSA '12 VEGETABLE SAMOSAS' matches the stated product identity with name 93 vs 57 for VPS, and is the plain retail pack (no AK PRO, no BULK, no TWIN PROMO cue in the offer, ruling out CVSAPR/CVSAA/CVSAP). cat_ok=0 also means the deployed generator could never surface the assigned pair.",4,237,,category_gate_unreachable,False,False,True,False
123,Al Kaber Veg samosas,VPS,PUNJABI SAMOSA,v2_synthetic_by_construction,INCORRECT,CVSA,12 VEGETABLE SAMOSAS,"CVSA (12 VEGETABLE SAMOSAS) is superior: covers strictly more of the offer's own wording (['samosa', 'vegetable'] vs ['samosa']). Offer words covered by replacement=['samosa', 'vegetable'] vs assigned=['samosa']; over-specific words replacement=0 vs assigned=1; name similarity 65.0 vs 56.5 (+8.5); protein=1 family=1 pack=unknown; spec '240 Gms x 20 Pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,INCORRECT,"Offer 'Veg samosas' names the vegetable variant, while assigned VPS is PUNJABI SAMOSA, a distinct product; the abbreviation 'Veg' depresses fuzzy scores but CVSA '12 VEGETABLE SAMOSAS' still leads on name (65 vs 56) and matches variant exactly, with no BULK/AK PRO cue to prefer CVSAA/CVSAPR. cat_ok=0 and fam=0 on the assigned row confirm the deployed pipeline could not produce this pair.",3,237,family_contradiction,category_gate_unreachable,False,False,True,False
124,Al-Kabeer PARATHA Paratha NOSPICY,VRTP,TAY. PARATHA PLAIN,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy']; name rank 1/237 (65.8).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Product identity (plain paratha, 400 gm x 24, non-spicy) agrees, but the assigned VRTP is the TAYEBAT sub-brand while the offer carries only the generic 'Al-Kabeer' prefix; VPR (PLAIN PARATHA) ties on name (66 vs 66) and leads on rule (53 vs 51), so the sub-brand choice is a genuine coin-flip on an attribute the offer never states.",0,237,,,False,False,False,False
125,ALKABEER Potato wedge,VSW,SEASONED WEDGES,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['potato']; name rank 2/237 (61.7).",deterministic,VERIFIED_CORRECT,"Offer 'Potato wedge' names the wedge form factor, which matches VSW SEASONED WEDGES exactly on product identity (Potato-Spl, rank 2/237 on both name and rule, cat_ok=1). The higher-scoring VPB POTATO BITES only wins on the shared token 'potato' and is a different product shape (bites, not wedges).",0,237,,,False,False,False,False
126,AlKabeer PARATHA tortilla Hot and Spicy,VTOR,"TORTILLA WRAPS HOT  N  SPICY 10.5""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['hot', 'paratha']; name rank 2/237 (69.5).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"MULTI_ENTITY offer ('PARATHA tortilla Hot and Spicy'); the assigned VTOR matches the tortilla entity on identity and on the stated HOT N SPICY variant, but VTORS is the identical product in the 8"" / 570 gm size with a slightly higher name score (72 vs 70) and the offer states no size, so 8"" vs 10.5"" is unresolvable.",0,237,,,False,False,False,True
127,ALKABEER Parathas tortilla Not Spicy,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 6/237 (56.8).",deterministic,VERIFIED_CORRECT,"Offer states 'tortilla' plus 'Not Spicy', which excludes the two higher-scoring HOT N SPICY wraps (VTORS 66, VTOR 64) on variant, and VTORP TORTILLA WRAPS PLAIN 8"" is the highest-scoring plain tortilla (name 57 vs 52 for VTORP10) with cat_ok=1 and var=1.",0,237,,,False,False,False,False
128,Al Kabeer Parata tortilla No Spicy,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 3/237 (59.7).",deterministic,VERIFIED_CORRECT,"'tortilla' + 'No Spicy' matches the plain tortilla wrap line; the spicy variants VTORS/VTOR are excluded by the explicit non-spicy token, and the assigned VTORP leads all plain tortilla SKUs on name (60 vs 54 for VTORP10) with prot/fam/var=1 and cat_ok=1.",0,237,,,False,False,False,False
129,Al kbeer Parata tortilla NON SPICY,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 5/237 (52.3).",deterministic,VERIFIED_CORRECT,"Offer 'Parata tortilla NON SPICY' matches plain tortilla wraps; VTORP is the top-scoring plain tortilla (name 52 vs 50 for VTORP10) and the higher-scoring VTORS/VTOR are HOT N SPICY, contradicting the explicit non-spicy token. Margin over the 10.5"" sibling is thin but the assigned SKU still leads.",0,237,,,False,False,False,False
130,AL KABEER Parata tortilla No Spicy,VTORP10,TORTILLA WRAPS PLAIN 10.5 INCHES,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 7/237 (54.3).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Plain tortilla wrap identity and the non-spicy variant both agree, but the assigned VTORP10 (10.5"", 875 gm) is outscored on name by its identical-product 8"" sibling VTORP (60 vs 54); the offer declares no size or pack, so the 8"" vs 10.5"" split is unresolvable from the text.",0,237,,,False,False,False,False
131,Al Kabee PARATHA tortilla Non spicy,VTORP10,TORTILLA WRAPS PLAIN 10.5 INCHES,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['kabee', 'nonspicy', 'paratha']; name rank 16/237 (49.2).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Offer 'PARATHA tortilla Non spicy' supports plain tortilla wraps, but the assigned VTORP10 sits at name rank 16/237 (49) below VTORP (53) and several paratha SKUs; identity is right while the size (8"" vs 10.5"") and the paratha-vs-tortilla emphasis are both unstated in the offer.",0,237,,,False,False,False,False
132,Al Kabeer Parata tortilla non spicy,VTORP10,TORTILLA WRAPS PLAIN 10.5 INCHES,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 8/237 (53.3).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Non-spicy tortilla wrap identity agrees and rules out the HOT N SPICY VTORS/VTOR, but the assigned VTORP10 trails its same-product 8"" sibling VTORP on name (53 vs 58) and the offer states no size, so the pack variant cannot be resolved.",0,237,,,False,False,False,False
133,ALKABEER PARATHA tortilla N/S,VTORP10,TORTILLA WRAPS PLAIN 10.5 INCHES,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['paratha']; name rank 7/237 (57.9).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"'tortilla N/S' maps to the plain tortilla wrap line, but VTORP (8"", name 63) outscores the assigned VTORP10 (58) and the abbreviation 'N/S' plus the co-mentioned 'PARATHA' leave both the size and the intended entity underdetermined; same product, unstated size, so the label is plausible rather than confirmed.",0,237,,,False,False,False,False
134,Al-Kabeer paratha tortilla NonSpicy,VTORP10,TORTILLA WRAPS PLAIN 10.5 INCHES,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 9/237 (53.3).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Assigned VTORP10 matches plain non-spicy tortilla wraps on identity and variant, but sits at name rank 9/237 (53) behind VPR (64), VTORS (61) and its own 8"" sibling VTORP (56); with no size stated the 875 gm 10.5"" pack cannot be confirmed over the 570 gm 8"" pack.",0,237,,,False,False,False,False
135,Alkabeer Paratha tortilla NonSpicy,VTORP10,TORTILLA WRAPS PLAIN 10.5 INCHES,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 9/237 (53.3).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Identical evidence profile to the preceding row: plain non-spicy tortilla wrap identity holds, but the assigned VTORP10 (name 53) is outscored by VTORP (56) and the offer declares no size, making the 8"" vs 10.5"" choice a genuine tie.",0,237,,,False,False,False,False
136,AL KABBER Paratha tortilla Non-Spicy,VTORP10,TORTILLA WRAPS PLAIN 10.5 INCHES,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 14/237 (48.7).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Offer 'Paratha tortilla Non-Spicy' supports plain tortilla wraps, but the assigned VTORP10 is only rank 14/237 on name (49), below VTORP (52), VPMR (63) and VPR (61); the misspelled brand and absent size leave the specific pack undetermined even though variant (non-spicy) and family agree.",0,237,,,False,False,False,False
137,Al Kabeer's Paratha tortilla Not Spicy,VTORP10,TORTILLA WRAPS PLAIN 10.5 INCHES,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 10/237 (51.5).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Plain, non-spicy tortilla wrap identity agrees and excludes the spicy VTORS/VTOR, but the assigned VTORP10 (name 52) trails the same-product 8"" VTORP (56); no size is stated in the offer, so the 875 gm pack cannot be preferred on evidence.",0,237,,,False,False,False,False
138,ALKABEER Parathas tortilla Non-Spicy,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 6/237 (56.8).",deterministic,VERIFIED_CORRECT,"'tortilla' plus explicit 'Non-Spicy' rules out the higher-scoring HOT N SPICY wraps VTORS (65) and VTOR (63) on variant, and the assigned VTORP TORTILLA WRAPS PLAIN 8"" is the best-scoring plain tortilla (name 57 vs 52 for VTORP10) with cat_ok=1.",0,237,,,False,False,False,False
139,Alkabeer PARATHA tortilla N/S,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['paratha']; name rank 3/237 (62.6).",deterministic,VERIFIED_CORRECT,"Offer 'PARATHA tortilla N/S' names the tortilla entity as non-spicy; assigned VTORP is the top plain tortilla wrap at name 63 (rank 3/237), ahead of VTORP10 (58), while the higher-ranked paratha SKUs (VPR 67, VPRW 66) are a different family member and the spicy VTORS/VTOR contradict 'N/S'.",0,237,,,False,False,False,False
140,Al Kabee paratha tortilla NS,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['kabee', 'paratha']; name rank 5/237 (54.9).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Offer 'paratha tortilla NS' matches VTORP on both tokens (fam4=PARATHA-WRAPS plus 'TORTILLA' in the name) and NS excludes the spicy VTORS/VTOR; but VTORP10 (TORTILLA WRAPS PLAIN 10.5 INCHES) is the identical plain-tortilla product at 875 gm vs 570 gm and the offer states no size (name 55 vs 52, a near-tie).",0,237,,,False,False,False,False
141,AlKabeer paratha tortilla NOSPICY,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 5/237 (57.4).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"'NOSPICY' rules out the top-name tortilla contenders VTORS (60) and VTOR (58), leaving plain tortilla wraps; assigned VTORP (57) and VTORP10 (54) are the same PLAIN product differing only in 8""/570 gm vs 10.5""/875 gm, a size the offer never states.",0,237,,,False,False,False,False
142,Al Kabeer paratha tortilla Non-Spicy,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 6/237 (57.6).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Explicit 'Non-Spicy' conflicts with the highest-name candidates VTORS (64) and VTOR (62), and PLAIN PARATHA (66) lacks the 'tortilla' token entirely; VTORP is the right plain-tortilla identity but is indistinguishable from VTORP10 (52) on the unstated size.",0,237,,,False,False,False,False
143,Al-Kabeer Paratha tortilla NS,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['paratha']; name rank 3/237 (62.7).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"VTORP is rank 1 on rule and top among tortilla SKUs on name (63), with NS excluding VTORS/VTOR; however VTORP10 sits at name 61, a two-point near-tie for the same PLAIN tortilla wrap in a size (10.5""/875 gm vs 8""/570 gm) the offer does not declare.",0,237,,,False,False,False,False
144,Al Kabeer's PARATHA tortilla Non-Spicy,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 7/237 (56.1).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Offer states Non-Spicy, so the name-66 leader VTORS (HOT N SPICY 8"") and VTOR (64) are variant-excluded despite outscoring the assigned VTORP (56); the residual choice between VTORP and VTORP10 (52) rests on an 8"" vs 10.5"" size the offer never gives.",0,237,,,False,False,False,False
145,Alkabeer Paratha tortilla Not Spicy,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 6/237 (57.6).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"'Not Spicy' excludes VTORS (65) and VTOR (63); PLAIN PARATHA (66) has no tortilla token. VTORP is the correct plain-tortilla identity but ties on product with VTORP10 (52), differing only in the unstated 570 gm vs 875 gm pack.",0,237,,,False,False,False,False
146,Al Kabee Parathas tortilla NonSpicy,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['kabee', 'nonspicy', 'paratha']; name rank 5/237 (52.2).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,'NonSpicy' rules out VTORS (62) and VTOR (59); the Zing chicken contenders are cat_ok=0 and unreachable at inference. VTORP (52) and VTORP10 (50) are a two-point near-tie for the same PLAIN tortilla wrap in an unstated size.,0,237,,,False,False,False,False
147,AL KABBER PARATHA tortilla No Spicy,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 8/237 (53.3).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"Offer says 'No Spicy', excluding VTORS (63) and VTOR (60); MALABAR PARATHA (63) and PLAIN PARATHA (62) carry no tortilla token. Assigned VTORP (53) vs VTORP10 (50) remains an unresolvable 8"" vs 10.5"" size call.",0,237,,,False,False,False,False
148,Alkabeer Paratha tortilla non spicy,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 6/237 (57.6).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"'non spicy' conflicts with the higher-name VTORS (64) and VTOR (62); paratha-only SKUs lack 'tortilla'. VTORP is the right plain tortilla wrap but the offer gives no weight to separate it from VTORP10 (875 gm, name 52).",0,237,,,False,False,False,False
149,AL-KABEEZ paratha tortilla No Spicy,VTORP,"TORTILLA WRAPS PLAIN 8""",v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['nonspicy', 'paratha']; name rank 8/237 (53.3).",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"'No Spicy' excludes the name-63 VTORS and name-60 VTOR; the chicken contenders (CKNTMP, CKSTY, BTS) are all cat_ok=0. VTORP (53) beats VTORP10 (50) only marginally, and the 570 gm vs 875 gm distinction is not stated in the offer.",0,237,,,False,False,False,False
150,Alkabheer Chkn Nuggets 750 g,CKNAD,CHICKEN NUGGETS 750 GMS,v2_synthetic_by_construction,VERIFIED_CORRECT,,,"Assigned SKU accounts for every distinguishing word in the offer (['chicken', 'nugget']) and introduces none the offer does not state; protein/family/variant compatible, pack compatible; no superior SKU exists among all 237.",deterministic,VERIFIED_CORRECT,"Offer declares 750 g and CKNAD is CHICKEN NUGGETS 750 GMS with pack=compatible, while every plain-nugget contender (CKN 270 g, CKNA 1 kg, CKN400, CKNAPR 1000 g, CKJCNA) is pack=INCOMPATIBLE; the only other compatible SKUs are +33% FREE promo packs and a Krazee variant, neither of which the offer names.",0,237,,,False,False,False,False
151,Al Kaber Chicken Nuggets 750 GRAMS,CKNAD,CHICKEN NUGGETS 750 GMS,v2_synthetic_by_construction,VERIFIED_CORRECT,,,"Assigned SKU accounts for every distinguishing word in the offer (['chicken', 'nugget']) and introduces none the offer does not state; protein/family/variant compatible, pack unknown; no superior SKU exists among all 237.",deterministic,VERIFIED_CORRECT,"Offer states 750 GRAMS, matching CKNAD's 750 GMS X 8 PKT exactly (name 80, rank 2); the name-89 leader CKN is 270 Gms and directly contradicts the stated weight, and no promo, Krazee, jumbo or AK PRO qualifier appears in the offer.",0,237,,,False,False,False,False
152,AL KABBER A.K PRO Chiken Nuggts,CKNAPR,AK PRO CHICKEN NUGGETS BULK,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"Best of all 237 SKUs on name similarity (76.1, margin +4.3); no attribute conflict; pack unknown.",deterministic+agent_downgrade,CORRECT_BUT_LOW_CONFIDENCE,"'A.K PRO Chiken Nuggts' correctly selects an AK PRO nugget SKU and CKNAPR is rank 1 on both name (76) and rule; but CKNNAPR (AK PRO Chicken Nuggets 1 kg x 10) has the identical 10 X 1000 GMS spec and name 72, so the two master entries are not separable from this offer text.",0,237,,,False,False,False,False
153,Alkabheer AK Pro CHICKEN Nugget,CKNAPR,AK PRO CHICKEN NUGGETS BULK,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"Best of all 237 SKUs on name similarity (84.3, margin +9.8); no attribute conflict; pack unknown.",deterministic+agent_downgrade,CORRECT_BUT_LOW_CONFIDENCE,"CKNAPR is rank 1 on name (84) and rule (59) for 'AK Pro CHICKEN Nugget', but CKNNAPR carries the same AK PRO sub-brand, same NUGGETS family and the same 10 X 1000 GMS spec (name 74); the offer contains no token that distinguishes the two duplicate master records.",0,237,,,False,False,False,False
154,ALKABEEER Chckn nuggets spicy,CKNHSA,CHICKEN NUGGETS HOT & SPICY BULK,v2_synthetic_by_construction,INCORRECT,CKNHSD,Chicken Nuggets HOT n SPICY,"CKNHSD (Chicken Nuggets HOT n SPICY) is superior: assigned SKU is over-specific: it adds 1 word(s) the offer never states, the replacement adds none. Offer words covered by replacement=['chicken', 'nugget', 'spicy'] vs assigned=['chicken', 'nugget', 'spicy']; over-specific words replacement=0 vs assigned=1; name similarity 72.8 vs 70.7 (+2.1); protein=1 family=1 pack=unknown; spec '750 g. x 8'. All 237 master SKUs were compared before selecting this replacement.",deterministic,CORRECT_BUT_LOW_CONFIDENCE,"'spicy' correctly points to a hot-and-spicy nugget SKU, but the assigned CKNHSA is the BULK 1 Kgs x 5 pack while the offer names no size and no bulk qualifier; retail CKNHSD (750 g. x 8) outscores it on name (73 vs 71) and is the same product in a pack the offer does not state.",1,237,,,False,False,False,False
155,AL-KABEEZ Chkn nuggets Hot and Spicy,CKNHSA,CHICKEN NUGGETS HOT & SPICY BULK,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"A stronger single-product SKU exists (CKNHSD Chicken Nuggets HOT n SPICY), but the offer names several products, so the assigned SKU may legitimately cover one of them.",deterministic+multi_entity_exception,CORRECT_BUT_LOW_CONFIDENCE,"'Hot and Spicy' chicken nuggets matches CKNHSA on protein, family and variant, but CKNHSD leads on name 80 vs 74 and is the retail 750 g. x 8 version; the offer gives no weight and no 'bulk' token, leaving the retail-vs-BULK choice unresolved.",1,237,,,False,False,False,True
156,Al Kaber Chicken Nuggts Hot & Spicy,CKNHSD,Chicken Nuggets HOT n SPICY,v2_synthetic_by_construction,VERIFIED_CORRECT,,,"Assigned SKU accounts for every distinguishing word in the offer (['chicken', 'nuggt', 'spicy']) and introduces none the offer does not state; protein/family/variant compatible, pack unknown; no superior SKU exists among all 237.",deterministic,VERIFIED_CORRECT,"'Chicken Nuggts Hot & Spicy' matches CKNHSD on protein, NUGGETS family and the hot-n-spicy variant, ranking 1 of 237 on both name (87) and rule (60); the runner-up CKNHSA is explicitly the BULK pack, a qualifier absent from the offer, and Krazee/Tempura/breaded contenders are excluded by sub-brand, variant or product identity.",0,237,,,False,False,False,False
157,AL KABBER CHICKEN NUGGETS Hot n Spicy,CKNHSD,Chicken Nuggets HOT n SPICY,v2_synthetic_by_construction,VERIFIED_CORRECT,,,"Assigned SKU accounts for every distinguishing word in the offer (['chicken', 'nugget', 'spicy']) and introduces none the offer does not state; protein/family/variant compatible, pack unknown; no superior SKU exists among all 237.",deterministic,VERIFIED_CORRECT,"Offer 'CHICKEN NUGGETS Hot n Spicy' is a near-verbatim match to CKNHSD (name 94.8, rule 69.5, rank 1/237 on both); CKN is plain non-spicy, CKNHSA is the BULK variant the offer does not mention, and CKNKDA adds the Krazee sub-brand.",0,237,,,False,False,False,False
158,Al kbeer Crazy Chicken nuggets,CKNK,KRAZEE CHICKEN NUGGETS 400,v2_synthetic_by_construction,INCORRECT,CKN,CHICKEN NUGGETS,"CKN (CHICKEN NUGGETS) is superior: assigned SKU is over-specific: it adds 1 word(s) the offer never states, the replacement adds none. Offer words covered by replacement=['chicken', 'nugget'] vs assigned=['chicken', 'nugget']; over-specific words replacement=0 vs assigned=1; name similarity 88.9 vs 79.9 (+9.0); protein=1 family=1 pack=unknown; spec '270 Gms x 20 Pkts'. All 237 master SKUs were compared before selecting this replacement.",deterministic,VERIFIED_CORRECT,"'Crazy' maps to the KRAZEE sub-brand, and CKNK is the only base Krazee chicken nugget SKU; the name-89 leader CKN is plain Al Kabeer with no Krazee sub-brand, while CKNKPP/CKNKDAP are +25%/+33% FREE promo packs and CKNKDA is the SPICY variant, none of which the offer states.",1,237,,,False,False,False,False
159,Al Kabee Krazee Chiken NUGGETS,CKNK,KRAZEE CHICKEN NUGGETS 400,v2_synthetic_by_construction,CORRECT_BUT_LOW_CONFIDENCE,,,"No SKU among all 237 is objectively superior, but the assigned SKU is not a clear winner: offer words unaccounted for ['kabee']; name rank 1/237 (82.6).",deterministic,VERIFIED_CORRECT,"'Krazee Chiken NUGGETS' matches CKNK on sub-brand, protein and product identity at rank 1/237 on name (83); the other Krazee nugget SKUs are promo packs (+25% FREE, +33% Free) or the SPICY 750 grm variant, and the offer carries no promo or spice qualifier.",0,237,,,False,False,False,False
160,ALKABEEER Krazee's Chicken Nuggts SPICY,CKNKDA,KRAZEE CHICKEN NUGGETS SPICY 750 GRM,v2_synthetic_by_construction,VERIFIED_CORRECT,,,"Assigned SKU accounts for every distinguishing word in the offer (['chicken', 'krazee', 'nuggt', 'spicy']) and introduces none the offer does not state; protein/family/variant compatible, pack unknown; no superior SKU exists among all 237.",deterministic,,,0,237,,,False,False,False,False
161,Al Kaber Krazee Chkn Nuggets spicy,CKNKDA,KRAZEE CHICKEN NUGGETS SPICY 750 GRM,v2_synthetic_by_construction,VERIFIED_CORRECT,,,"Assigned SKU accounts for every distinguishing word in the offer (['chicken', 'krazee', 'nugget', 'spicy']) and introduces none the offer does not state; protein/family/variant compatible, pack unknown; no superior SKU exists among all 237.",deterministic,,,0,237,,,False,False,False,False
162,Alkabheer A/K Pro chicken Nuggets 1 kg,CKNNAPR,AK PRO Chicken Nuggets 1 kg x 10,v2_synthetic_by_construction,VERIFIED_CORRECT,,,"Assigned SKU accounts for every distinguishing word in the offer (['chicken', 'nugget', 'pro']) and introduces none the offer does not state; protein/family/variant compatible, pack compatible; no superior SKU exists among all 237.",deterministic,,,0,237,,,False,False,False,False
163,Alkabeers AK PRO CHICKEN Nugget,CKNNAPR,AK PRO Chicken Nuggets 1 kg x 10,v2_synthetic_by_construction,VERIFIED_CORRECT,,,"Assigned SKU accounts for every distinguishing word in the offer (['chicken', 'nugget', 'pro']) and introduces none the offer does not state; protein/family/variant compatible, pack unknown; no superior SKU exists among all 237.",deterministic,,,0,237,,,False,False,False,False
164,AL KABBER Tempura Chkn nuggets Non spicy,CKNTMP,Tempura Chicken Nuggets Non Spicy,v2_synthetic_by_construction,VERIFIED_CORRECT,,,"Assigned SKU accounts for every distinguishing word in the offer (['chicken', 'nonspicy', 'nugget', 'tempura']) and introduces none the offer does not state; protein/family/variant compatible, pack unknown; no superior SKU exists among all 237.",deterministic,,,0,237,,,False,False,False,False
